[2025-11-18 09:11:50] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-17
正在获取论文...
[arXiv] 2025-11-17 | Segment Anything Across Shots: A Method and Benchmark
[arXiv] 2025-11-17 | UnSAMv2: Self-Supervised Learning Enables Segment Anything at Any Granularity
[arXiv] 2025-11-17 | Shortest fixed-width confidence intervals for a bounded parameter: The Push algorithm
[arXiv] 2025-11-17 | Quantum Advantage in Learning Mixed Unitary Channels
[arXiv] 2025-11-17 | Cross-Learning from Scarce Data via Multi-Task Constrained Optimization
[arXiv] 2025-11-17 | Scientific Data Compression and Super-Resolution Sampling
[arXiv] 2025-11-17 | A new generalization of the Narayana numbers inspired by linear operators on associative $d$-ary algebras
[arXiv] 2025-11-17 | Integrative Model for Interoception and Exteroception: predictive coding, points of modulation, and testable predictions
[arXiv] 2025-11-17 | High-resolution radio imaging of TGSSJ1530+1049, a radio galaxy in a dense environment at z=4
[arXiv] 2025-11-17 | Distribution Matching Distillation Meets Reinforcement Learning
[arXiv] 2025-11-17 | Degree-of-freedom and optimization-dynamic effects on the observability of Kuramoto-Sivashinsky systems
[arXiv] 2025-11-17 | Beyond Mimicry: Preference Coherence in LLMs
[arXiv] 2025-11-17 | Sensitivity to low-mass WIMPs with an improved liquid argon ionization response model within the DarkSide programme
[arXiv] 2025-11-17 | Variable-temperature attenuator calibration method for on-wafer microwave noise characterization of low-noise amplifiers
[arXiv] 2025-11-17 | P1: Mastering Physics Olympiads with Reinforcement Learning
[arXiv] 2025-11-17 | A Gentle Introduction to Conformal Time Series Forecasting
[arXiv] 2025-11-17 | Lieb-Schultz-Mattis-Type and Laughlin-Type Argument for the Quantum Hall Effect in Lattice Fermions with Spiral Boundary Conditions
[arXiv] 2025-11-17 | The Merkle Mountain Belt
[arXiv] 2025-11-17 | Development of a Low-Cost, Autonomous Pulse Amplitude Modulated (PAM) Chlorophyll Fluorometer for In-Situ Monitoring of Photosystem II Efficiency
[arXiv] 2025-11-17 | Exploring the Effectiveness of Google Play Store's Privacy Transparency Channels
[arXiv] 2025-11-17 | Coclique level structure for stochastic chemical reaction networks
[arXiv] 2025-11-17 | Any fully graphic region of degree sequences can be sampled rapidly
[arXiv] 2025-11-17 | Bimodular Gravity: Unimodularising Bimetric Scalar-Tensor Gravity
[arXiv] 2025-11-17 | Sequences of Bivariate Bicycle Codes from Covering Graphs
[arXiv] 2025-11-17 | MDIntrinsicDimension: Dimensionality-Based Analysis of Collective Motions in Macromolecules from Molecular Dynamics Trajectories
[arXiv] 2025-11-17 | The Final-Stage Bottleneck: A Systematic Dissection of the R-Learner for Network Causal Inference
[arXiv] 2025-11-17 | A Hybrid Physics-Driven Neural Network Force Field for Liquid Electrolytes
[arXiv] 2025-11-17 | Biggs tree groups
[arXiv] 2025-11-17 | Building Egocentric Procedural AI Assistant: Methods, Benchmarks, and Challenges
[arXiv] 2025-11-17 | Robust Control Design Using a Hybrid-Gain Finite-Time Sliding-Mode Controller
[arXiv] 2025-11-17 | Modified Monte Carlo method with thermostat algorithm for model orthonickelates
[arXiv] 2025-11-17 | Souper-Model: How Simple Arithmetic Unlocks State-of-the-Art LLM Performance
