[2025-12-07 09:09:03] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-06
正在获取论文...
[ACM] 2025-12-6 | Are Your LLM-based Text-to-SQL Models Secure? Exploring SQL Injection via Backdoor Attacks
[ACM] 2025-12-6 | LLM-Powered Interactive Graph Search: A Scalable and Practical Approach
[ACM] 2025-12-6 | AgentTune: An Agent-Based Large Language Model Framework for Database Knob Tuning
[ACM] 2025-12-6 | High-Throughput, Cost-Effective Billion-Scale Vector Search with a Single GPU
[ACM] 2025-12-6 | Unifying Generative Self-Supervised Paradigms with Diffusion Models
[ACM] 2025-12-6 | Biometric-Based Recovery Mechanism for Blockchain-Based Wallet
[ACM] 2025-12-6 | You Are Out of My Focus: A Defocus-Blur Backdoor Attack against Deep Learning Models
[ACM] 2025-12-6 | MCTG: A Multimodal Self-Supervised Contrastive Learning Framework Based on CTG
[ACM] 2025-12-6 | MCIHN: A Hybrid Network Model Based on Multi-path Cross-modal Interaction for Multimodal Emotion Recognition
[ACM] 2025-12-6 | Neural MONOBLOC Black
[ACM] 2025-12-6 | Near-Linear Runtime for a Classical Matrix Preconditioning Algorithm
[ACM] 2025-12-6 | Empowering bilingual interpreters with AI tools in multi-lingual interpreting training: insights into AI-assisted interpreting training and assessment
[ACM] 2025-12-6 | Reconstruction and Implementation of the Artificial Intelligence Curriculum System Based on “Project-driven” from the Perspective of New Quality Productivity
[ACM] 2025-12-6 | Research on the Intelligent Learning Path of University Computer Basic Courses from the Perspective of AI
[ACM] 2025-12-6 | TranSQL
                    <sup>+</sup>
                    : Serving Large Language Models with SQL on Low-Resource Hardware
[ACM] 2025-12-6 | Research on the Construction of Dynamic Matching Matrix and Its Adaptation to Educational Scenarios from the Perspective of Cognitive Symbiosisc
[ACM] 2025-12-6 | Construction and Secondary Optimization of a Voltage Quality Control Knowledge Graph Based on Large Language Models
[ACM] 2025-12-6 | GDPR Constraints on AI-Generated Music: Privacy Protection Challenges in Training Data
[ACM] 2025-12-6 | Construction and Practice of an AIoT Practical Course Based on Agile Teaching Methodology
[ACM] 2025-12-6 | An Evaluation of Open Source Data Anonymisation Tools for Medical Data
[ACM] 2025-12-6 | SynSpeech: A Dataset and Benchmark for Fake Speech Detection
[ACM] 2025-12-6 | DS-IB Net: Ultra-Lightweight Weakly-Supervised Video Anomaly Detection through Synergistic Dual Streams and Information Bottleneck
[ACM] 2025-12-6 | CSSA-Fusion: Channel Selective and Spatial Alignment Infrared-Visible Image Fusion
[ACM] 2025-12-6 | Mitigating Hallucinations in Large Vision-Language Models via Dual Contrastive Decoding
[ACM] 2025-12-6 | Gradient Shaping Beyond Clipping: A Functional Perspective on Update Magnitude Control
[ACM] 2025-12-6 | Multi-contrastive Regularization for Single Image Portrait Relighting
[ACM] 2025-12-6 | Brook-2PL: Tolerating High Contention Workloads with A Deadlock-Free Two-Phase Locking Protocol
[ACM] 2025-12-6 | Multi-Task Learning with Adaptive Fusion for Point-of-Interest Recommendation
[ACM] 2025-12-6 | Hint-Guided Video Frame Interpolation for Video Compression
[ACM] 2025-12-6 | Dual-Branch Feature Modeling and Multi-Directional Motion Perception for Video Compression
[ACM] 2025-12-6 | Hybrid Mamba-Transformer Model for Lightweight Image Super-Resolution
[ACM] 2025-12-6 | Distortion-Aware Network for Zero-Reference Retinal Image Enhancement
[ACM] 2025-12-6 | Joint Optimization for Image Compression and Deblurring via Blur-Aware Guidance
[ACM] 2025-12-6 | SAFE-AKT: Kazakh Image-Text Retrieval via Semantic-Agnostic Feature Enhancement and Adaptive Knowledge Transfer
[ACM] 2025-12-6 | InstructTrack: Language-Guided Multi-Object Tracking with Semantic-Aware Association
[ACM] 2025-12-6 | Design of Public Physical Education Curriculum Management System Based on Blockchain Technology
[ACM] 2025-12-6 | Reorienting OOP Curriculum: From Knowledge-Centric Projects to Agentic AI-Driven Problem Solving
[ACM] 2025-12-6 | RABIT: Efficient Range Queries with Bitmap Indexing
[ACM] 2025-12-6 | Lookup Table-based Computing: A Survey from Software Implementations to Hardware Architectures
[ACM] 2025-12-6 | NeuroSwift: A Lightweight Cross-Subject Framework for fMRI Visual Reconstruction of Complex Scenes
[ACM] 2025-12-6 | Federated Deep Incomplete Multi-View Clustering with Heterogeneity-Matching and Attention-Based Imputation
[ACM] 2025-12-6 | Gloss-Free Sign Language Translation With Optical-Flow Guided Two-Stream Network
[ACM] 2025-12-6 | Phoneme-Controlled LLM with Self-Supervised Speech Prompts for Mispronunciation Detection
[ACM] 2025-12-6 | DualCap: Enhancing Lightweight Image Captioning via Dual Retrieval with Similar Scenes Visual Prompts
[ACM] 2025-12-6 | An Empirical Study on the Coupling Coordination between the Disciplinary Structure of Higher Education and the Industrial Structure in China
[ACM] 2025-12-6 | Design and Implementation of an Intelligent Student Attendance Management System
[ACM] 2025-12-6 | Research on the Architecture of Virtual Training Education Platform Enabled by Artificial Intelligence Technology
[ACM] 2025-12-6 | Path Analysis of University Teachers’ Digital Literacy Enhancement Based on Deep Learning: A Perspective of Sports and Arts Integration
[ACM] 2025-12-6 | Research on Student Behavior Analysis and Prediction in Vocational Colleges Based on Multi-source Data Mining
[ACM] 2025-12-6 | Gem: Scalable Monotonic Graph Processing Beyond Billion-Scale on a Single Machine
[ACM] 2025-12-6 | Hold-Me-Tight
[ACM] 2025-12-6 | Machine Learning-Based Evaluation and Empirical Research on the Teaching Quality and Satisfaction of Online Course in Higher Education: A Case Study of College English Course
[ACM] 2025-12-6 | ECTSpeech: Enhancing Efficient Speech Synthesis via Easy Consistency Tuning
[ACM] 2025-12-6 | Speech Emotion Recognition via Multi-Level Acoustic Modeling and Cross-Modal Temporal Fusion
[ACM] 2025-12-6 | Animating the Ephemeral: Transforming Edible Cultural Heritage into Dynamic Digital Heritage through AI and Mixed Reality
[ACM] 2025-12-6 | Multi-modal Recommendation with Joint Content and Interaction Augmentation
[ACM] 2025-12-6 | DiskJoin: Large-scale Vector Similarity Join with SSD
[ACM] 2025-12-6 | Dynamically Detect and Fix Hardness for Efficient Approximate Nearest Neighbor Search
[ACM] 2025-12-6 | <scp>MCTuner:</scp>
