[2025-12-10 15:34:53] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-09
正在获取论文...
[arXiv] 2025-12-09 | Identifying counterfactual probabilities using bivariate distributions and uplift modeling
[arXiv] 2025-12-09 | Geodesic dynamics and multi-inclination images of a non-minimally coupled black hole with a thin accretion disk
[arXiv] 2025-12-09 | LoFA: Learning to Predict Personalized Priors for Fast Adaptation of Visual Generative Models
[arXiv] 2025-12-09 | An Explainable AI Model for the Detecting Malicious Smart Contracts Based on EVM Opcode Based Features
[arXiv] 2025-12-09 | Computing normalized Nash equilibria for generalized Nash games with nonconvex players
[arXiv] 2025-12-09 | A Practical Guide for Designing, Developing, and Deploying Production-Grade Agentic AI Workflows
[arXiv] 2025-12-09 | Resource and population dynamics in an agent-environment interaction model
[arXiv] 2025-12-09 | Single-field D-type inflation in the minimal supergravity in light of Planck-ACT-SPT data
[arXiv] 2025-12-09 | Genetic Regression Analysis of Human Brain Connectivity Using an Efficient Estimator of Genetic Covariance
[arXiv] 2025-12-09 | IoT-based Cost-Effective Fruit Quality Monitoring System using Electronic Nose
[arXiv] 2025-12-09 | Neutrino mass constraints in the context of 4-parameter dark energy equation of state and DESI DR2 observations
[arXiv] 2025-12-09 | Non-abelian quantum double models from iterated gauging
[arXiv] 2025-12-09 | The new truly cylindrical tracker for the ALICE ITS3
[arXiv] 2025-12-09 | Variance strikes back: sub-game--perfect Nash equilibria in time-inconsistent $N$-player games, and their mean-field sequel
[arXiv] 2025-12-09 | Towards Foundation Models with Native Multi-Agent Intelligence
[arXiv] 2025-12-09 | Stationary Point Constrained Inference via Diffeomorphisms
[arXiv] 2025-12-09 | Conditional traffic-like rules for particle-flow simulation in cellular automata
[arXiv] 2025-12-09 | Exposing Hidden Biases in Text-to-Image Models via Automated Prompt Search
[arXiv] 2025-12-09 | Optical polarimetry of the accreting black hole X-ray binary Swift J1727.8$-$1613 over the state transition and radio ejections
[arXiv] 2025-12-09 | Geometry-driven transitions in sparse long-range spin models with cold atoms
[arXiv] 2025-12-09 | Gradient-Informed Monte Carlo Fine-Tuning of Diffusion Models for Low-Thrust Trajectory Design
[arXiv] 2025-12-09 | $J/ψ$-Meson Nucleon Scattering Length from Threshold Photoproduction on Light Nuclei
[arXiv] 2025-12-09 | Order parameter for non-mean-field spin glasses
[arXiv] 2025-12-09 | Moduli space of complete stable pairs
[arXiv] 2025-12-09 | A constant rank theorem for linear elliptic equations on the sphere with applications to the mixed Christoffel problem
[arXiv] 2025-12-09 | Interpreting the Ehrhart coefficients of cross-polytopes
[arXiv] 2025-12-09 | Atomic and molecular systems for radiation thermometry
[arXiv] 2025-12-09 | Observation of Raman anomaly and characterization of magnetic phases in van der Waals ferromagnet Fe$_5$GeTe$_2$
[arXiv] 2025-12-09 | Pulsars identified in the LOFAR Two-metre Sky Survey at 144 MHz
[arXiv] 2025-12-09 | Ergodic Trajectory Planning with Dynamic Sensor Footprints
[arXiv] 2025-12-09 | Exhausting the type I error level in event-driven group-sequential designs with a closed testing procedure for progression-free and overall survival
[arXiv] 2025-12-09 | Repulsor: Accelerating Generative Modeling with a Contrastive Memory Bank
[arXiv] 2025-12-09 | Stretching and breaking of particles in compressible random flows
[arXiv] 2025-12-09 | Multi-Task Bayesian Optimization for Tuning Decentralized Trajectory Generation in Multi-UAV Systems
[arXiv] 2025-12-09 | Protein Secondary Structure Prediction Using Transformers
[arXiv] 2025-12-09 | $\mathcal{PT}$-symmetric cavity magnomechanics with gain-assisted transparency and amplification
[arXiv] 2025-12-09 | Decoupling Template Bias in CLIP: Harnessing Empty Prompts for Enhanced Few-Shot Learning
[arXiv] 2025-12-09 | Heteroclinic networks in an ensemble of generalized Lotka-Volterra elements
[arXiv] 2025-12-09 | Dflow-SUR: Enhancing Generative Aerodynamic Inverse Design using Differentiation Throughout Flow Matching
[arXiv] 2025-12-09 | On the Fundamental Tradeoff of Joint Communication and QCD: The Monostatic Case
[arXiv] 2025-12-09 | PolySwyft: sequential simulation-based nested sampling
[arXiv] 2025-12-09 | An Adaptive Method for Target Curve Selection
[arXiv] 2025-12-09 | Jacobian Aligned Random Forests
